,GPS_time,SatPRN,Pseudo_range,CN0,SatX,SatY,SatZ
510,1.3970624404260419e+18,28,-474.4133605957031,26.4,5167556.711026728,25829223.069058105,-3434472.915777534
511,1.3970624404260419e+18,32,282.2391662597656,32.4,7791374.829016364,17842173.425392583,18366371.843595777
532,1.3970624414260419e+18,02,-472.592529296875,44.0,14637364.642792435,-4855191.928899638,22090605.020128507
533,1.3970624414260419e+18,03,-469.5716857910156,37.7,23137783.631565005,-12051903.7370709,4471370.149767799
534,1.3970624414260419e+18,08,212.2763214111328,47.1,25032086.961229336,4790336.275879034,8108651.6914588325
535,1.3970624414260419e+18,10,387.7375793457031,39.7,-1641471.5119589418,17341011.162966784,20158848.297056004
536,1.3970624414260419e+18,21,-312.4634704589844,49.7,15761836.780874714,1917177.1252035373,21851798.596202962
537,1.3970624414260419e+18,27,573.3552856445312,38.9,23094309.393677946,13304014.084582366,-3046176.0669477573
538,1.3970624414260419e+18,28,-475.2349243164063,35.0,5167328.641621968,25829684.02603954,-3431335.5233102813
539,1.3970624414260419e+18,32,281.9228820800781,48.6,7789252.0606405465,17841324.657193534,18368096.935282182
568,1.3970624414260419e+18,03,-469.22760009765625,23.8,23137783.631565005,-12051903.7370709,4471370.149767799
569,1.3970624414260419e+18,08,212.3195343017578,38.6,25032086.961229336,4790336.275879034,8108651.6914588325
570,1.3970624414260419e+18,10,387.7754211425781,29.3,-1641471.5119589418,17341011.162966784,20158848.297056004
571,1.3970624414260419e+18,28,-475.81494140625,26.4,5167328.641621968,25829684.02603954,-3431335.5233102813
572,1.3970624414260419e+18,32,281.94927978515625,34.6,7789252.0606405465,17841324.657193534,18368096.935282182
590,1.397062442426042e+18,02,-472.9250183105469,43.9,14637819.235400127,-4852540.495166579,22090919.93178401
591,1.397062442426042e+18,03,-470.3266906738281,37.9,23137418.16261498,-12051395.53613383,4474537.025096268
592,1.397062442426042e+18,08,211.67230224609372,44.7,25032930.07953713,4790984.237728105,8105746.692842904
593,1.397062442426042e+18,10,387.1964416503906,35.3,-1643609.2745687868,17342344.602869898,20157482.282775573
594,1.397062442426042e+18,21,-312.7557678222656,40.8,15762276.027739774,1919796.7336072507,21851339.652628817
595,1.397062442426042e+18,27,572.4197387695312,40.1,23093894.738759417,13304077.964065365,-3049296.6846329058
