,GPS_time,SatPRN,Pseudo_range,CN0,SatX,SatY,SatZ,Pos.X,Pos.Y,"Pos,Z",Lat,Lon,Alt
15,3241.3460137030343,03,-469.22760009765625,23.8,23137783.631565005,-12051903.7370709,4471370.149767799,4436876.875458932,3085286.1672608345,3376318.1143632606,32.16883343084599,34.81372414847667,45.94260553829372
16,3242.346015240997,03,-470.3266906738281,37.9,23137418.16261498,-12051395.53613383,4474537.025096268,4435670.710286511,3085270.654551045,3375070.766086386,32.16410758343547,34.82089122908507,-1463.8571551069617
17,3242.346015240997,03,-469.73724365234375,28.3,23137418.16261498,-12051395.53613383,4474537.025096268,4435670.710286511,3085270.654551045,3375070.766086386,32.16410758343547,34.82089122908507,-1463.8571551069617
18,3243.346620900091,28,-475.0005493164063,37.6,5166872.455341282,25830604.807504833,-3425060.4950496177,4435074.724193355,3084400.542240988,3374453.1272202493,32.16412652555797,34.816924609478136,-2627.4165337784216
19,3244.3460183429997,03,-468.57916259765625,33.3,23136686.324133255,-12050378.389299233,4480870.487158765,4435675.594970453,3085277.3468664773,3375070.95521218,32.1640714226838,34.820919910887305,-1457.1269517550245
20,3245.3460200000554,03,-468.37933349609375,28.8,23136319.954649873,-12049869.443282554,4484037.07405082,4435660.689463702,3085258.174586022,3375064.6127832313,32.16413431917065,34.82084326329758,-1480.1293349359185
21,3245.3460200000554,03,-468.67974853515625,23.0,23136319.954649873,-12049869.443282554,4484037.07405082,4435660.689463702,3085258.174586022,3375064.6127832313,32.16413431917065,34.82084326329758,-1480.1293349359185
22,3246.3460214940133,03,-469.5457153320313,36.1,23135953.285145532,-12049360.248937242,4487203.564018726,4436886.458427837,3085296.7816108577,3376319.999395425,32.16878095022977,34.813758536533115,58.7356875538826
23,3246.3460214940133,03,-469.5843505859375,28.7,23135953.285145532,-12049360.248937242,4487203.564018726,4436886.458427837,3085296.7816108577,3376319.999395425,32.16878095022977,34.813758536533115,58.7356875538826
24,3247.3460230920464,03,-470.65240478515625,41.4,23135586.315563627,-12048850.806091275,4490369.957840242,4436884.123468203,3085286.9185769013,3376322.668436403,32.16883756394797,34.81368681695597,53.767524124123156
25,3247.3460230920464,03,-470.8655395507813,35.4,23135586.315563627,-12048850.806091275,4490369.957840242,4436884.123468203,3085286.9185769013,3376322.668436403,32.16883756394797,34.81368681695597,53.767524124123156
26,3248.3460246510804,03,-472.0220031738281,43.9,23135219.045997873,-12048341.114781631,4493536.254994078,4436887.397127595,3085285.7066498077,3376329.4456680003,32.16887971537987,34.81365645267117,59.06525663100183
27,3248.3460246510804,03,-472.0509033203125,34.5,23135219.045997873,-12048341.114781631,4493536.254994078,4436887.397127595,3085285.7066498077,3376329.4456680003,32.16887971537987,34.81365645267117,59.06525663100183
28,3249.346026233048,03,-473.2990417480469,39.6,23134851.476466913,-12047831.174940674,4496702.45560809,4436902.022354484,3085279.4682255154,3376338.9769665315,32.16891192101313,34.81351362583568,71.28922503627837
29,3249.346026233048,03,-473.3825073242188,30.9,23134851.476466913,-12047831.174940674,4496702.45560809,4436902.022354484,3085279.4682255154,3376338.9769665315,32.16891192101313,34.81351362583568,71.28922503627837
30,3250.3460278250277,03,-475.6336059570313,42.6,23134483.607016735,-12047320.98653914,4499868.559573106,4436886.931285643,3085272.4592545307,3376316.508745205,32.16881911008105,34.813543960068024,45.451690020971
31,3250.3460278250277,03,-475.3502502441406,32.7,23134483.607016735,-12047320.98653914,4499868.559573106,4436886.931285643,3085272.4592545307,3376316.508745205,32.16881911008105,34.813543960068024,45.451690020971
32,3251.346029404085,03,-476.27252197265625,44.5,23134115.437697165,-12046810.549552692,4503034.566748276,4436904.354170849,3085268.3040246535,3376322.9512878153,32.16881099950506,34.813402332688526,58.982207572087646
33,3251.346029404085,03,-476.5166320800781,34.9,23134115.437697165,-12046810.549552692,4503034.566748276,4436904.354170849,3085268.3040246535,3376322.9512878153,32.16881099950506,34.813402332688526,58.982207572087646
34,3252.346030986053,03,-476.3069152832031,48.0,23133746.968543686,-12046299.863937406,4506200.477115487,4436898.503224562,3085262.3941588555,3376322.408821888,32.16884612187729,34.813386304815005,51.77111115120351
35,3252.346030986053,03,-476.2695007324219,38.9,23133746.968543686,-12046299.863937406,4506200.477115487,4436898.503224562,3085262.3941588555,3376322.408821888,32.16884612187729,34.813386304815005,51.77111115120351
36,3253.3460325810593,03,-475.936279296875,50.4,23133378.199593894,-12045788.929652201,4509366.290638554,4436891.574308546,3085249.5907271015,3376310.063734275,32.1688142940373,34.81331679614787,34.19586671702564
37,3253.3460325810593,03,-475.96673583984375,40.9,23133378.199593894,-12045788.929652201,4509366.290638554,4436891.574308546,3085249.5907271015,3376310.063734275,32.1688142940373,34.81331679614787,34.19586671702564
38,3254.346034166985,03,-476.2516174316406,49.7,23133009.130897384,-12045277.746672297,4512532.007179211,4434495.568552572,3085022.0683469633,3375338.5950352834,32.17146745298625,34.82584380803702,-2258.034187246114
39,3254.346034166985,03,-476.2515563964844,40.3,23133009.130897384,-12045277.746672297,4512532.007179211,4434495.568552572,3085022.0683469633,3375338.5950352834,32.17146745298625,34.82584380803702,-2258.034187246114
40,3255.3460357580334,03,-476.42388916015625,49.2,23132639.76249011,-12044766.314954912,4515697.626714193,4434500.724957015,3085015.1672774116,3375336.7973394776,32.171452324240555,34.825752490159005,-2258.744410400279
41,3255.3460357580334,03,-476.353759765625,40.6,23132639.76249011,-12044766.314954912,4515697.626714193,4434500.724957015,3085015.1672774116,3375336.7973394776,32.171452324240555,34.825752490159005,-2258.744410400279
42,3256.34603733907,03,-476.3359069824219,47.2,23132270.094419267,-12044254.63447146,4518863.149127351,4436923.042498889,3085231.3962491346,3376322.0509879575,32.168831625312436,34.81296795003807,53.65481893066317
